player_id,player_name,entry_course,starts,avg_st,min_st,max_st,top_st_rate,reliability
3653,品川賢次,3,4,0.225,0.18,0.26,0.0,参考
3814,金子貴志,4,4,0.115,0.06,0.15,25.0,参考
3742,宮地秀祈,5,8,0.163,0.09,0.23,12.5,C
3955,眞田英二,6,5,0.214,0.19,0.23,0.0,C
4296,岡崎恭裕,2,8,0.169,0.11,0.25,12.5,C
4218,吉川喜継,3,12,0.163,0.05,0.26,0.0,B
4294,古賀繁輝,4,6,0.145,0.06,0.27,16.67,C
4295,小坂尚哉,5,10,0.199,0.05,0.31,10.0,B
3790,佐口達也,1,11,0.206,0.11,0.35,18.18,B
4293,鈴木智啓,3,8,0.19,0.11,0.23,25.0,C
4365,盛本真輔,4,6,0.203,0.15,0.26,0.0,C
4526,池田雄祐,5,5,0.148,0.1,0.23,60.0,C
3921,川村正輝,1,5,0.148,0.1,0.23,40.0,C
3397,沖本健二,2,5,0.204,0.09,0.27,0.0,C
3377,塚田修二,3,4,0.185,0.1,0.34,25.0,参考
4828,松山将吾,4,10,0.125,0.06,0.19,20.0,B
4636,赤池修平,5,7,0.173,0.11,0.23,0.0,C
3786,納富一樹,2,3,0.193,0.09,0.25,0.0,参考
3478,嶋田貴支,3,9,0.207,0.03,0.42,33.33,C
4202,浮田圭浩,5,7,0.164,0.06,0.26,0.0,C
4647,磯部温志,6,3,0.21,0.13,0.32,0.0,参考
4434,田中辰彦,1,19,0.179,0.04,0.3,15.79,B
4488,小山勉,4,3,0.143,0.09,0.19,0.0,参考
3814,金子貴志,5,6,0.128,0.07,0.23,50.0,C
4295,小坂尚哉,1,17,0.155,0.07,0.25,29.41,B
4277,金田大輔,2,9,0.157,0.08,0.21,22.22,C
3647,伊藤雄二,3,6,0.148,0.09,0.21,66.67,C
3228,伸澤進,6,3,0.277,0.27,0.29,0.0,参考
3522,長溝一生,5,5,0.17,0.11,0.23,20.0,C
3955,眞田英二,1,9,0.164,0.1,0.23,0.0,C
4293,鈴木智啓,2,9,0.162,0.05,0.29,0.0,C
4732,堀本和也,6,6,0.135,0.06,0.18,66.67,C
4296,岡崎恭裕,5,7,0.119,0.07,0.25,42.86,C
