player_id,player_name,entry_course,starts,avg_st,min_st,max_st,top_st_rate,reliability
4434,田 中 辰 彦,4,6,0.172,0.03,0.37,33.33,C
3455,谷 本 幸 司,6,4,0.223,0.12,0.32,0.0,参考
4479,矢 野 真梨菜,3,8,0.173,0.06,0.28,12.5,C
4498,宮 本 夏 樹,1,11,0.174,0.08,0.32,9.09,B
3559,水 長 照 雄,4,5,0.138,0.07,0.18,0.0,C
4359,横 川 聖 志,2,10,0.136,0.04,0.31,30.0,B
3842,星 野 太 郎,5,4,0.165,0.08,0.21,25.0,参考
3584,佐々木 英 樹,6,8,0.189,0.09,0.28,0.0,C
4743,木 村 仁 紀,4,5,0.15,0.11,0.19,0.0,C
4625,渡 邊 裕 貴,3,4,0.16,0.07,0.29,25.0,参考
3455,谷 本 幸 司,3,4,0.188,0.15,0.24,25.0,参考
4529,嶋 義 信,4,5,0.178,0.08,0.27,20.0,C
4466,南 佑 典,2,3,0.187,0.14,0.23,0.0,参考
4759,今 泉 友 吾,3,7,0.146,0.07,0.21,0.0,C
4502,遠 藤 エ ミ,2,6,0.143,0.01,0.24,16.67,C
3559,水 長 照 雄,3,6,0.183,0.04,0.31,16.67,C
3584,佐々木 英 樹,1,7,0.144,0.07,0.28,28.57,C
4674,池 田 剛 規,5,8,0.184,0.07,0.32,12.5,C
4525,真 子 奈津実,6,8,0.196,0.11,0.28,12.5,C
3379,打 越 晶,5,4,0.155,0.07,0.27,25.0,参考
3584,佐々木 英 樹,5,11,0.175,0.08,0.28,18.18,B
3514,山 一 鉄 也,1,30,0.152,0.06,0.22,30.0,A
4020,川 上 清 人,2,6,0.243,0.16,0.41,0.0,C
3293,宮 内 由紀英,4,5,0.242,0.16,0.37,0.0,C
4691,水 原 慎,6,9,0.188,0.12,0.35,11.11,C
3699,富 永 正 人,1,5,0.128,0.06,0.2,60.0,C
4145,小 澤 学,2,7,0.283,0.22,0.37,0.0,C
3951,石 川 吉 鎬,5,9,0.147,0.08,0.19,11.11,C
4697,國 弘 翔 平,6,5,0.226,0.18,0.35,20.0,C
3587,武 田 信 一,4,7,0.071,0.03,0.11,42.86,C
4527,高 野 心 吾,6,3,0.157,0.09,0.19,33.33,参考
3484,芝 田 浩 治,1,8,0.199,0.14,0.3,0.0,C
3527,中 嶋 誠一郎,3,14,0.154,0.04,0.25,14.29,B
3825,宮 嵜 隆太郎,4,15,0.107,0.01,0.25,46.67,B
4816,村 松 修 二,6,15,0.157,0.04,0.34,26.67,B
3745,橋 本 年 光,1,12,0.173,0.06,0.4,41.67,B
4272,大 場 広 孝,3,17,0.164,0.01,0.37,29.41,B
4020,川 上 清 人,4,3,0.19,0.17,0.21,0.0,参考
4821,妻 鳥 晋 也,6,13,0.204,0.03,0.34,7.69,B
4053,芦 澤 望,1,7,0.194,0.09,0.33,42.86,C
3663,木 山 和 幸,3,15,0.141,0.02,0.24,20.0,B
4145,小 澤 学,4,6,0.27,0.24,0.29,0.0,C
3907,村 越 篤,5,4,0.195,0.08,0.29,25.0,参考
4684,楠 原 翔 太,6,17,0.202,0.07,0.46,5.88,B
4195,前 川 守 嗣,2,13,0.122,0.04,0.22,15.38,B
4167,片 岡 秀 樹,3,4,0.17,0.04,0.36,0.0,参考
3463,乙 津 康 志,1,5,0.198,0.15,0.28,20.0,C
4527,高 野 心 吾,3,5,0.164,0.11,0.24,0.0,C
3699,富 永 正 人,4,5,0.114,0.04,0.18,20.0,C
4691,水 原 慎,5,6,0.193,0.03,0.31,0.0,C
4808,松 尾 拓,6,5,0.15,0.01,0.34,40.0,C
3694,木 村 恒 一,1,3,0.163,0.09,0.23,0.0,参考
3825,宮 嵜 隆太郎,2,14,0.119,0.04,0.28,42.86,B
4301,関 裕 也,6,3,0.183,0.16,0.22,33.33,参考
3663,木 山 和 幸,1,11,0.17,0.1,0.27,18.18,B
4272,大 場 広 孝,2,15,0.162,0.06,0.34,33.33,B
3353,前 田 光 昭,3,3,0.163,0.1,0.21,33.33,参考
3641,一 瀬 明,4,5,0.142,0.11,0.17,0.0,C
4086,寺 本 重 宣,6,8,0.217,0.17,0.29,0.0,C
3527,中 嶋 誠一郎,1,19,0.155,0.04,0.26,26.32,B
4053,芦 澤 望,3,6,0.163,0.09,0.21,16.67,C
3745,橋 本 年 光,4,8,0.159,0.1,0.3,25.0,C
3708,岡 部 貴 司,5,7,0.137,0.04,0.18,28.57,C
3946,赤 岩 善 生,1,11,0.142,0.06,0.26,54.55,B
3484,芝 田 浩 治,2,6,0.162,0.07,0.27,0.0,C
3329,作 野 恒,3,4,0.133,0.09,0.17,25.0,参考
3514,山 一 鉄 也,4,21,0.141,0.02,0.31,19.05,A
3907,村 越 篤,6,6,0.137,0.01,0.19,16.67,C
3907,村 越 篤,1,9,0.171,0.1,0.23,0.0,C
4250,藤 川 利 文,2,3,0.167,0.14,0.19,33.33,参考
4145,小 澤 学,3,8,0.235,0.17,0.33,0.0,C
4821,妻 鳥 晋 也,5,3,0.117,0.09,0.14,33.33,参考
3712,淺 香 文 武,1,4,0.18,0.07,0.32,50.0,参考
4808,松 尾 拓,3,3,0.193,0.08,0.36,0.0,参考
4087,吉 田 敦 志,5,3,0.203,0.13,0.27,0.0,参考
4272,大 場 広 孝,6,14,0.15,0.02,0.28,14.29,B
3951,石 川 吉 鎬,2,7,0.173,0.05,0.27,0.0,C
