player_id,player_name,lane,entry_course,starts,win_rate,second_rate,third_rate,top3_rate,avg_st,min_st,max_st,top_st_rate,course_avg_top3_rate,top3_vs_course_avg,entry_shift_count,entry_shift_rate,course_strength,reliability
3893,汐 崎 正 則,1,1,4,50.0,25.0,0.0,75.0,0.17,0.1,0.24,0.0,84.17,-9.17,0,0.0,少数参考,参考
4358,松 本 庸 平,2,2,7,0.0,42.86,0.0,42.86,0.191,0.13,0.22,0.0,52.69,-9.83,0,0.0,標準,C
3566,川 添 英 正,5,5,11,9.09,18.18,18.18,45.45,0.214,0.09,0.31,0.0,38.06,7.39,0,0.0,やや得意,B
3880,浅 見 宗 孝,6,6,6,0.0,0.0,33.33,33.33,0.17,0.09,0.28,33.33,23.06,10.27,0,0.0,得意,C
3661,柳 瀬 興 志,1,1,4,25.0,25.0,0.0,50.0,0.235,0.15,0.32,0.0,84.17,-34.17,0,0.0,少数参考,参考
3599,柿 本 達 也,2,2,3,0.0,0.0,0.0,0.0,0.257,0.24,0.28,0.0,52.69,-52.69,0,0.0,少数参考,参考
4265,村 上 祐 次,4,4,3,0.0,0.0,33.33,33.33,0.177,0.12,0.25,33.33,49.52,-16.19,0,0.0,少数参考,参考
4475,末 永 祐 輝,5,5,9,22.22,22.22,22.22,66.67,0.136,0.08,0.18,22.22,38.06,28.61,0,0.0,得意,C
4739,中 村 晃 朋,2,2,5,20.0,0.0,60.0,80.0,0.126,0.07,0.19,20.0,52.69,27.31,0,0.0,得意,C
4360,庄 司 孝 輔,1,1,4,50.0,25.0,0.0,75.0,0.2,0.13,0.27,0.0,84.17,-9.17,0,0.0,少数参考,参考
4216,星 栄 爾,3,3,4,25.0,50.0,0.0,75.0,0.103,0.05,0.14,100.0,52.71,22.29,0,0.0,少数参考,参考
3305,小 野 信 樹,6,6,4,0.0,0.0,25.0,25.0,0.225,0.15,0.31,0.0,23.06,1.94,0,0.0,少数参考,参考
4378,川 下 晃 司,1,1,5,40.0,20.0,0.0,60.0,0.222,0.12,0.37,20.0,84.17,-24.17,0,0.0,苦手,C
