motor_no,n,win_rate,top2_rate,top3_rate,avg_exhibition_time,avg_start_timing,avg_motor_2ren_rate,avg_motor_3ren_rate,nige_rate,sashi_rate,makuri_rate,makurizashi_rate,deashi_score,nobi_score,mawariashi_score,motor_type,sample_reliability
33,940,0.18404255319148935,0.3276595744680851,0.4968085106382979,6.800797872340426,0.16795744680851063,,,0.0,0.0,0.0,0.0,0.13106382978723405,0.19872340425531917,0.17388297872340425,伸び型,1.0
34,901,0.1709211986681465,0.3462819089900111,0.5083240843507214,6.818512763596004,0.16583795782463928,,,0.0,0.0,0.0,0.0,0.13851276359600445,0.20332963374028856,0.1779134295227525,伸び型,1.0
35,901,0.146503884572697,0.32852386237513875,0.5094339622641509,6.8082463928967805,0.16472807991120977,,,0.0,0.0,0.0,0.0,0.1314095449500555,0.2037735849056604,0.17830188679245282,伸び型,1.0
36,931,0.21267454350161116,0.3995703544575725,0.5886143931256713,6.792738990332976,0.1612781954887218,,,0.0,0.0,0.0,0.0,0.159828141783029,0.23544575725026853,0.20601503759398496,伸び型,1.0
37,857,0.16569428238039674,0.3162193698949825,0.456242707117853,6.822812135355893,0.161610268378063,,,0.0,0.0,0.0,0.0,0.126487747957993,0.1824970828471412,0.15968494749124854,伸び型,1.0
38,890,0.149438202247191,0.3146067415730337,0.46741573033707867,6.808494382022472,0.16614606741573035,,,0.0,0.0,0.0,0.0,0.1258426966292135,0.18696629213483149,0.16359550561797753,伸び型,1.0
39,859,0.16065192083818394,0.32363213038416766,0.5087310826542492,6.8185681024447025,0.1651455180442375,,,0.0,0.0,0.0,0.0,0.12945285215366706,0.20349243306169967,0.1780558789289872,伸び型,1.0
40,954,0.16247379454926625,0.34067085953878407,0.4989517819706499,6.806184486373166,0.16689727463312368,,,0.0,0.0,0.0,0.0,0.13626834381551364,0.19958071278825995,0.17463312368972744,伸び型,1.0
41,930,0.15591397849462366,0.35053763440860214,0.5258064516129032,6.810043010752688,0.16654838709677422,,,0.0,0.0,0.0,0.0,0.14021505376344087,0.2103225806451613,0.1840322580645161,伸び型,1.0
42,896,0.16629464285714285,0.32700892857142855,0.49888392857142855,6.817522321428571,0.16912946428571426,,,0.0,0.0,0.0,0.0,0.13080357142857144,0.19955357142857144,0.17460937499999998,伸び型,1.0
